Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,9,12,23,20,ENG - Streets,Streets Operations,Street - Surface Water Flooding,12##,BURRARD ST,Downtown
2019,9,12,23,28,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,34##,E 2ND AV,Hastings-Sunrise
2019,9,12,23,33,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,35##,GRANDVIEW HIGHWAY,Renfrew-Collingwood
2019,9,13,0,15,ENG - Streets,Streets Operations,Pothole - Repair,9##,W 6TH AV,Fairview
2019,9,13,0,16,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,W BROADWAY,Fairview
2019,9,13,0,23,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,W BROADWAY,Fairview
2019,9,13,1,55,DBL - Inspections,Property Use,PUI Noise Complaint Case,23##,MCLEAN DRIVE,Grandview-Woodland
2019,9,13,7,0,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,E 1ST AV,Strathcona
2019,9,13,7,25,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,25##,W 14TH AV,Kitsilano
2019,9,13,7,33,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10##,W 7TH AV,Fairview
2019,9,13,8,8,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,35##,W 3RD AV,Kitsilano
2019,9,13,8,9,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,36##,GLEN DRIVE,Kensington-Cedar Cottage
2019,9,13,8,12,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,42##,ELGIN ST,Kensington-Cedar Cottage
2019,9,13,8,37,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,56##,KERR ST,Renfrew-Collingwood
2019,9,13,8,40,ENG - Streets,Streets Operations,Street - Repair,3##,E 16TH AV,Riley Park
2019,9,13,8,48,ENG - Streets,Streets Operations,Street - Repair,56##,KERR ST,Renfrew-Collingwood
2019,9,13,8,53,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,11##,E 11TH AV,Mount Pleasant
2019,9,13,8,53,ENG - Streets,Streets Operations,Pothole - Repair,16##,W 29TH AV,Shaughnessy
2019,9,13,8,56,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,SEYMOUR ST,Downtown
2019,9,13,8,56,ENG - Streets,Streets Operations,Street - Repair,45##,BEVERLY CRESCENT,Shaughnessy
2019,9,13,8,57,ENG - Streets,Streets Operations,Street - Repair,60##,LANARK ST,Victoria-Fraserview
2019,9,13,9,8,Public Safety - Fire,Prevention,FPB_General Inquiry Case,7##,E 7TH AV,Mount Pleasant
2019,9,13,9,8,ENG - Streets,Streets Operations,Street - Repair,9##,W 8TH AV,Fairview
2019,9,13,9,8,ENG - Streets,Streets Operations,Street - Repair,Intersection,SASAMAT ST and W 1ST AV,West Point Grey
2019,9,13,9,17,ENG - Streets,Streets Operations,Street - Surface Water Flooding,84##,ELLIOTT ST,Killarney
2019,9,13,9,33,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,11##,PARK DRIVE,Marpole
2019,9,13,9,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,36##,CAMBIE ST,Riley Park
2019,9,13,9,53,DBL - Inspections,Property Use,PUI General Inquiry Case,10##,GRANVILLE ST,Downtown
2019,9,13,10,8,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,73##,BLAKE ST,Killarney
2019,9,13,10,8,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,4##,RAYMUR AV,Strathcona
2019,9,13,10,11,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,4200, - 4299 SLOCAN ST,Renfrew-Collingwood
2019,9,13,10,12,DBL - Inspections,Property Use,PUI Noise Complaint Case,5##,NICOLA ST,Downtown
2019,9,13,10,15,ENG - Streets,Streets Operations,Street - Repair,20##,E 39TH AV,Kensington-Cedar Cottage
2019,9,13,10,16,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,HOMER ST,Downtown
2019,9,13,10,19,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,BUTE ST,West End
2019,9,13,10,22,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,Intersection,CHAMPLAIN CRESCENT and MAQUINNA DRIVE,Killarney
2019,9,13,10,38,ENG - Water & Sewer,Waterworks Operations,Water General Inquiry,8##,W 46TH AV,Oakridge
2019,9,13,10,41,ENG - Streets,Streets Operations,Pothole - Repair,36##,RAE AV,Renfrew-Collingwood
2019,9,13,10,42,ENG - Streets,Streets Operations,Streets - General Issues,33##,W BROADWAY,Kitsilano
2019,9,13,10,42,Public Safety - Fire,Prevention,Fire Reinspection Request for Firehall,35##,FALAISE AV,Renfrew-Collingwood
2019,9,13,10,47,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,19##,NELSON ST,West End
2019,9,13,10,48,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,19##,NELSON ST,West End
2019,9,13,10,54,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,GRANVILLE ST,Downtown
2019,9,13,10,57,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,55##,RHODES ST,Renfrew-Collingwood
2019,9,13,10,58,ENG - Streets,Streets Operations,Streets - General Issues,20##,W 43RD AV,
2019,9,13,11,0,ENG - Streets,Streets Operations,Street - Repair,2##,E 30TH AV,Riley Park
2019,9,13,11,3,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,69##,FLEMING ST,Victoria-Fraserview
2019,9,13,11,3,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,21##,STEPHENS ST,Kitsilano
2019,9,13,11,5,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,59##,WALES ST,Victoria-Fraserview
2019,9,13,11,7,ENG - Streets,Streets & Electrical Design,Wheelchair Curb/Ramp Request,2##,E 30TH AV,Riley Park
2019,9,13,11,9,ENG - Streets,Streets Operations,Sidewalk - Repair,2##,E 30TH AV,Riley Park
2019,9,13,11,13,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,21##,TRIUMPH ST,Grandview-Woodland
2019,9,13,11,25,ENG - Water & Sewer,Waterworks Operations,Water Service Turn On/Off Request,32##,PIERVIEW CRESCENT,Killarney
2019,9,13,11,28,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,Intersection,W 29TH AV and W KING EDWARD AV,Dunbar-Southlands
2019,9,13,11,28,ENG - Waste Management & Resource Recovery,Transfer and Landfill Operations,Transfer Station & Recycling - General Inquiries,85##,YUKON ST,Marpole
2019,9,13,11,33,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,41##,JERICHO DRIVE,
2019,9,13,11,41,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,E 1ST AV,Strathcona
2019,9,13,11,46,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,Intersection,ARGYLE ST and E 61ST AV,Victoria-Fraserview
2019,9,13,11,47,DBL - Inspections,Property Use,PUI Noise Complaint Case,13##,HORNBY ST,Downtown
2019,9,13,11,48,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,26##,DUKE ST,Renfrew-Collingwood
2019,9,13,11,50,ENG - Streets,Streets Operations,Streets - General Issues,18##,E 63RD AV,Victoria-Fraserview
2019,9,13,11,54,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,3##,WETHERSFIELD DRIVE,Oakridge
2019,9,13,11,56,ENG - Streets,Streets Operations,Street - Surface Water Flooding,29##,W 11TH AV,Kitsilano
2019,9,13,11,57,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,20##,E 40TH AV,Kensington-Cedar Cottage
2019,9,13,12,0,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,Intersection,N CASSIAR ST and OXFORD ST,Hastings-Sunrise
2019,9,13,12,1,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,16##,W 2ND AV,Fairview
2019,9,13,12,2,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,55##,MELBOURNE ST,Renfrew-Collingwood
2019,9,13,12,3,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,46##,W 13TH AV,West Point Grey
2019,9,13,12,4,ENG - Streets,Streets Operations,Bridges & Structures - Repair,0, - 0 BURRARD BRIDGE,
2019,9,13,12,7,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,5##,CARRALL ST,Downtown
2019,9,13,12,8,ENG - Streets,Streets Operations,Sidewalk - Repair,26##,W 16TH AV,Kitsilano
2019,9,13,12,12,Public Safety - Fire,Prevention,FPB_General Inquiry Case,10##,DAVIE ST,West End
2019,9,13,12,19,Public Safety - Fire,Prevention,FPB_General Inquiry Case,46##,DUNBAR ST,Dunbar-Southlands
2019,9,13,12,21,ENG - Streets,Streets Operations,Street - Surface Water Flooding,3##,WOODLAND DRIVE,Grandview-Woodland
2019,9,13,12,33,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,34##,FALAISE AV,Renfrew-Collingwood
2019,9,13,12,34,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,31##,E 2ND AV,Hastings-Sunrise
2019,9,13,12,44,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,8##,CAMBIE ST,Downtown
2019,9,13,13,4,ENG - Water & Sewer,Waterworks Operations,Water Damage To City Water System,20##,W 46TH AV,Kerrisdale
2019,9,13,13,8,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,ALDER CROSSING and LAMEY'S MILL ROAD,Fairview
2019,9,13,13,8,ENG - Streets,Streets Operations,Street - Repair,29##,W 23RD AV,Arbutus-Ridge
2019,9,13,13,11,DBL - Inspections,Electrical,Electrical Inspection Cancellation Case,4##,E 49TH AV,Sunset
2019,9,13,13,16,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,##,EXPO BOULEVARD,Downtown
2019,9,13,13,16,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,27##,E 57TH AV,Victoria-Fraserview
2019,9,13,13,22,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,45##,VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,13,13,23,ENG - Water & Sewer,Waterworks Operations,Water General Work Request,Intersection,E 22ND AV and SLOCAN ST,Renfrew-Collingwood
2019,9,13,13,30,ENG - Streets,Streets Operations,Street - Repair,57##,BERKELEY ST,Victoria-Fraserview
2019,9,13,13,31,ENG - Streets,Streets Operations,Streets - General Issues,4##,ROBSON ST,Downtown
2019,9,13,13,33,ENG - Streets,Streets Operations,Sidewalk - Repair,43##,W 14TH AV,West Point Grey
2019,9,13,13,38,DBL - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,45##,DUMFRIES ST,Kensington-Cedar Cottage
2019,9,13,13,41,DBL - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,45##,DUMFRIES ST,Kensington-Cedar Cottage
2019,9,13,13,42,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,4##,E 47TH AV,Sunset
2019,9,13,13,45,DBL - Inspections,Plumbing and Gas,Plumbing and Gas Inspection Cancellation Case,45##,DUMFRIES ST,Kensington-Cedar Cottage
2019,9,13,13,46,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,HARWOOD ST,West End
2019,9,13,13,49,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,30##,E KENT AV NORTH,Killarney
2019,9,13,13,49,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,Intersection,COMMERCIAL DRIVE and E HASTINGS ST,Grandview-Woodland
2019,9,13,13,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,HARWOOD ST,West End
2019,9,13,14,7,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,26##,E 47TH AV,Victoria-Fraserview
2019,9,13,14,24,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,10##,GRANVILLE ST,Downtown
2019,9,13,14,26,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,22##,E 50TH AV,Victoria-Fraserview
2019,9,13,14,31,ENG - Streets,Streets Operations,Pothole - Repair,29##,TRIMBLE ST,West Point Grey
2019,9,13,14,37,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,35##,W 26TH AV,Dunbar-Southlands
2019,9,13,14,43,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,14##,W 32ND AV,Shaughnessy
2019,9,13,15,10,ENG - Water & Sewer,Waterworks Operations,Water General Inquiry,72##,KILLARNEY ST,Killarney
2019,9,13,15,15,DBL - Administration,Administration Branch,General Information Request SR,72##,VIVIAN DRIVE,Killarney
2019,9,13,15,16,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,6##,N SLOCAN ST,Hastings-Sunrise
2019,9,13,15,20,ENG - Streets,Streets Operations,Pothole - Repair,30##,W 33RD AV,Dunbar-Southlands
2019,9,13,15,30,ENG - Water & Sewer,Waterworks Operations,Water General Inquiry,28##,E 48TH AV,Killarney
2019,9,13,15,32,ENG - Water & Sewer,Waterworks Operations,Water Pressure or No Water Issue,38##,POINT GREY ROAD,West Point Grey
2019,9,13,15,33,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,19##,W 4TH AV,Kitsilano
2019,9,13,15,35,Public Safety - Fire,Prevention,FPB_General Inquiry Case,40##,W 36TH AV,Dunbar-Southlands
2019,9,13,15,36,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,42##,W 10TH AV,West Point Grey
2019,9,13,15,37,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,62##,DOMAN ST,Killarney
2019,9,13,15,39,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,62##,DOMAN ST,Killarney
2019,9,13,15,39,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,25##,E BROADWAY,Renfrew-Collingwood
2019,9,13,15,47,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,HIGHBURY ST and SW MARINE DRIVE,Dunbar-Southlands
2019,9,13,15,50,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,CROWN ST and W 16TH AV,Dunbar-Southlands
2019,9,13,15,56,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,45##,DUNBAR ST,Dunbar-Southlands
2019,9,13,16,1,ENG - Streets,Streets Operations,Sidewalk - Repair,38##,FRASER ST,Riley Park
2019,9,13,16,19,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,5##,E 26TH AV,Riley Park
2019,9,13,16,20,ENG - Streets,Streets Operations,Streets - General Issues,1500, - 1599 ISLAND PARK WALK,Fairview
2019,9,13,16,39,ENG - Streets,Streets Operations,Street - Surface Water Flooding,26##,TRINITY ST,Hastings-Sunrise
2019,9,13,16,39,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,32##,MARMION AV,Killarney
2019,9,13,16,40,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,13##,ARBUTUS ST,Kitsilano
2019,9,13,16,41,DBL - Inspections,Property Use,PUI Noise Complaint Case,17##,E PENDER ST,Grandview-Woodland
2019,9,13,16,44,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,16##,STEPHENS ST,Kitsilano
2019,9,13,16,47,ENG - Streets,Streets Operations,Street - Surface Water Flooding,14##,ROBSON ST,West End
2019,9,13,16,48,ENG - Streets,Streets Operations,Sidewalk - Repair,9##,CHILCO ST,West End
2019,9,13,16,51,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,13##,THE CRESCENT,Shaughnessy
2019,9,13,16,54,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,35##,SLOCAN ST,Renfrew-Collingwood
2019,9,13,16,56,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,Intersection,E 28TH AV and WINDSOR ST,Kensington-Cedar Cottage
2019,9,13,17,1,ENG - Streets,Streets Operations,Sidewalk - Repair,25##,W 6TH AV,Kitsilano
2019,9,13,17,2,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,32##,E 20TH AV,Renfrew-Collingwood
2019,9,13,17,6,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,30##,W 36TH AV,Dunbar-Southlands
2019,9,13,17,7,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,E 28TH AV and WINDSOR ST,Kensington-Cedar Cottage
2019,9,13,17,14,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,16##,E 58TH AV,Victoria-Fraserview
2019,9,13,17,15,ENG - Streets,Streets Operations,Street - Repair,25##,W 6TH AV,Kitsilano
2019,9,13,17,25,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,29##,TRINITY ST,Hastings-Sunrise
2019,9,13,17,27,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,6##,RUPERT ST,Hastings-Sunrise
2019,9,13,17,34,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,CAMBIE ST,Downtown
2019,9,13,17,40,ENG - Streets,Streets Operations,Pothole - Repair,15##,BEACH AV,West End
2019,9,13,17,55,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,Intersection,BLANCA ST and SIMPSON AV,West Point Grey
2019,9,13,17,58,ENG - Streets,Streets Operations,Streets - General Issues,22##,SW MARINE DRIVE,Kerrisdale
2019,9,13,18,7,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,22##,E 1ST AV,Grandview-Woodland
2019,9,13,18,11,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,43##,ST. CATHERINES ST,Kensington-Cedar Cottage
2019,9,13,18,24,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,30##,CHARLES ST,Hastings-Sunrise
2019,9,13,18,37,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,##,E 3RD AV,Mount Pleasant
2019,9,13,18,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,PARKER ST,Hastings-Sunrise
2019,9,13,18,48,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,PARKER ST,Hastings-Sunrise
2019,9,13,19,6,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,33##,PRICE ST,Renfrew-Collingwood
2019,9,13,19,23,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,21##,TRIUMPH ST,Grandview-Woodland
2019,9,13,19,40,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,35##,W 22ND AV,Dunbar-Southlands
2019,9,13,19,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,PARKER ST,Hastings-Sunrise
2019,9,13,19,50,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22##,CAMBRIDGE ST,Grandview-Woodland
2019,9,13,19,51,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,PARKER ST,Hastings-Sunrise
2019,9,13,19,52,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,30##,CHARLES ST,Hastings-Sunrise
2019,9,13,19,52,ENG - Streets,Streets Operations,Streets - General Issues,20##,W 4TH AV,Kitsilano
2019,9,13,19,58,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,51##,KERSLAND DRIVE,Riley Park
2019,9,13,20,17,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,E 58TH AV and ONTARIO ST and W 58TH AV,Sunset
2019,9,13,20,40,ENG - Streets,Streets Operations,Pothole - Repair,23##,NAPIER ST,Grandview-Woodland
2019,9,13,20,55,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,E HASTINGS ST,Grandview-Woodland
2019,9,13,21,9,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,33##,W 43RD AV,Dunbar-Southlands
2019,9,13,21,14,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,18##,VICTORIA DIVERSION,Kensington-Cedar Cottage
2019,9,13,23,11,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,30##,VANNESS AV,Renfrew-Collingwood
2019,9,13,23,20,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,QUEBEC ST,Downtown
2019,9,14,0,23,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,GRANVILLE ST,Downtown
2019,9,14,4,1,ENG - Streets,Streets Operations,Street - Repair,16##,E 61ST AV,Victoria-Fraserview
2019,9,14,6,0,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,27##,GRAVELEY ST,Hastings-Sunrise
2019,9,14,6,1,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,22##,E 10TH AV,Kensington-Cedar Cottage
2019,9,14,7,27,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,Intersection,HAWKS AV and MALKIN AV,Strathcona
2019,9,14,7,45,ENG - Water & Sewer,Waterworks Operations,Water Work Site Complaint,38##,SLOCAN ST,Renfrew-Collingwood
2019,9,14,7,47,DBL - Inspections,Property Use,PUI Noise Complaint Case,8##,PRIOR ST,Strathcona
2019,9,14,7,56,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,PRIOR ST,Strathcona
2019,9,14,8,10,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,26##,W 1ST AV,Kitsilano
2019,9,14,8,42,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,53##,VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,14,9,9,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,6##,E CORDOVA ST,Strathcona
2019,9,14,9,13,DBL - Inspections,Property Use,PUI Noise Complaint Case,21##,W 12TH AV,Kitsilano
2019,9,14,9,14,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,E 39TH AV and VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,14,9,23,DBL - Inspections,Property Use,PUI Noise Complaint Case,14##,W 13TH AV,Fairview
2019,9,14,9,30,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,80##,ELLIOTT ST,Killarney
2019,9,14,9,32,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2##,E 23RD AV,Riley Park
2019,9,14,9,40,DBL - Administration,Administration Branch,General Information Request SR,15##,RENFREW ST,Hastings-Sunrise
2019,9,14,9,47,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6600, - 6699 ARLINGTON ST,
2019,9,14,9,53,DBL - Inspections,Property Use,PUI Noise Complaint Case,17##,COOK ST,Mount Pleasant
2019,9,14,9,54,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,PARKER ST and SEMLIN DRIVE,Grandview-Woodland
2019,9,14,9,58,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6600, - 6699 ARLINGTON ST,
2019,9,14,10,2,ENG - Streets,Streets Operations,Pothole - Repair,24##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,14,10,5,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,1##,E 7TH AV,Mount Pleasant
2019,9,14,10,5,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,8400, - 8499 NANAIMO ST,Victoria-Fraserview
2019,9,14,10,37,ENG - Streets,"Streets, Traffic and Electrical Operations",Street and Traffic Light - Utility Damage,88##,OSLER ST,Marpole
2019,9,14,10,43,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,25##,E PENDER ST,Hastings-Sunrise
2019,9,14,10,46,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,E 24TH AV and ST. GEORGE ST,Riley Park
2019,9,14,10,48,DBL - Inspections,Property Use,PUI Noise Complaint Case,16##,E 1ST AV,Grandview-Woodland
2019,9,14,10,51,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,5##,MCLEAN DRIVE,Grandview-Woodland
2019,9,14,11,26,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,29##,RENFREW ST,Renfrew-Collingwood
2019,9,14,11,31,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,19##,E 12TH AV,Kensington-Cedar Cottage
2019,9,14,11,50,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,SEYMOUR ST,Downtown
2019,9,14,11,56,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,59##,CULLODEN ST,Sunset
2019,9,14,11,58,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,9##,W 7TH AV,Fairview
2019,9,14,12,1,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,E 45TH AV and WALES ST,Victoria-Fraserview
2019,9,14,12,13,ENG - Streets,Streets Operations,Streets - General Issues,1200, - 1299 E 17TH AV,Kensington-Cedar Cottage
2019,9,14,12,26,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,82##,ELLIOTT ST,Killarney
2019,9,14,12,44,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,24##,VICTORIA DRIVE,Grandview-Woodland
2019,9,14,12,53,Public Safety - Fire,Prevention,FPB_General Inquiry Case,17##,W 11TH AV,Fairview
2019,9,14,12,55,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,22##,E HASTINGS ST,Grandview-Woodland
2019,9,14,13,1,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,39##,POINT GREY ROAD,West Point Grey
2019,9,14,13,8,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,E 22ND AV,Renfrew-Collingwood
2019,9,14,14,37,ENG - Waste Management & Resource Recovery,Transfer and Landfill Operations,Transfer Station & Recycling - General Inquiries,18##,SPYGLASS PLACE,Fairview
2019,9,14,14,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2##,E 24TH AV,Riley Park
2019,9,14,15,35,ENG - Streets,Streets Operations,Streets - General Issues,43##,MILLER ST,Kensington-Cedar Cottage
2019,9,14,15,39,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,6##,RAYMUR AV,Strathcona
2019,9,14,15,42,DBL - Inspections,Property Use,PUI Noise Complaint Case,23##,MAIN ST,Mount Pleasant
2019,9,14,15,57,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,42##,BRANT ST,Kensington-Cedar Cottage
2019,9,14,16,1,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,32##,W BROADWAY,Kitsilano
2019,9,14,16,20,ENG - Streets,Streets Operations,Street - Surface Water Flooding,7##,E 29TH AV,Kensington-Cedar Cottage
2019,9,14,16,40,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,17##,E 37TH AV,Kensington-Cedar Cottage
2019,9,14,17,1,ENG - Streets,Streets Operations,Sidewalk - Repair,10##,MAINLAND ST,Downtown
2019,9,14,17,5,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,6900, - 6999 ARLINGTON ST,Killarney
2019,9,14,18,7,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,DAVIE ST,Downtown
2019,9,14,18,10,ENG - Water & Sewer,Waterworks Operations,Water General Work Request,Intersection,CARDERO ST and W GEORGIA ST,Downtown
