Corridor Name,StartStreetName,EndStreetName,Route No.,District,Inspector,Side of Street,Type of Street,Clean Corridor,Fiscal Year,Quarter of Inspection,Year/Month,Date of Inspection,Start Time,End Time,Sweeping Day(s),Sweeping Time(s),streetclean_cleanto5,1.1 Litter Count,2.1,2.1 Litter Count,2.2,2.3,2.4,2.5,avg_graffiti,3.2,3.3,4.1,4.2,perc_cleanaroundtrashbin,4.4,4.5,4.6,4.0 Pass?,5.1,5.2,5.3,5.4
Divisadero,Haight,McAllister,13,5,MNC,West,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/6/2009 0:00,9:00 AM,11:30 AM,Not Recorded,Not Recorded,2.88,N/A,2.19,N/A,96.9,0,Yes,No,0,15,15,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,63.3,63.3,100,100
Haight,Stanyan,Masonic,16,5,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/6/2009 0:00,6:00 PM,8:30 PM,Not Recorded,Not Recorded,2.95,N/A,2.35,N/A,96.6,0,No,No,0,29.6,74.8,100.00%,100.00%,88.90%,100.00%,100.00%,100.00%,Yes,55,55,100,100
Haight,Webster,Divisadero,17,5,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/6/2009 0:00,9:00 PM,11:00 PM,Not Recorded,Not Recorded,2.8,N/A,2.53,N/A,96.7,0,No,No,0,25.8,28.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,55.9,55.9,100,100
Irving,6th Avenue,Funston,41,5,MNC,North,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/7/2009 0:00,6:30 PM,8:30 PM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,Yes,0,6.4,9.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,73.3,73.3,100,100
16th Street,Valencia,Folsom,24,6,MNC,North,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,6:00 AM,8:00 AM,Not Recorded,Not Recorded,2.78,N/A,2.24,N/A,97,0,Yes,No,0.6,13.2,14.2,100.00%,100.00%,80.00%,100.00%,100.00%,100.00%,Yes,40,40,100,100
Geary,Jones,Van Ness,9,6,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/14/2009 0:00,7:30 PM,9:30 PM,Not Recorded,Not Recorded,3,N/A,2.73,N/A,96.4,0,No,No,0.6,26.4,21.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,93.8,93.8,100,100
Mission,Duboce,18th Street,27,6,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/20/2009 0:00,9:00 AM,11:00 AM,Not Recorded,Not Recorded,2.82,N/A,2.64,N/A,96.5,0.4,No,No,0,29.6,33.6,100.00%,100.00%,66.70%,100.00%,100.00%,100.00%,Yes,55.6,55.6,98.4,98.4
Polk,California,O'Farrell,8,6,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/14/2009 0:00,5:00 PM,7:00 PM,Not Recorded,Not Recorded,2.7,N/A,2.05,N/A,96.8,0,Yes,No,0,15,4.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,82.6,82.6,100,100
Ocean,Capitol,Manor,38,7,MNC,North,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/21/2009 0:00,11:00 AM,1:00 PM,Not Recorded,Not Recorded,2.7,N/A,2.1,N/A,96.8,0,Yes,No,0,16.2,17.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,74.3,74.3,100,100
Ocean,Capitol,Phelan,37,7,MNC,North,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/21/2009 0:00,9:00 AM,11:00 AM,Not Recorded,Not Recorded,2.9,N/A,2.13,N/A,96.9,0,Yes,No,0,15,8.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,63.6,63.6,100,100
Irving,19th Avenue,25th Avenue,40,4,MNC,North,Commercial,Yes,2009-2010,Q1,2010-03-Sep,9/8/2009 0:00,11:00 AM,1:00 AM,Wed,7-8am,2.1,N/A,2,N/A,97,0,Yes,No,0,7,12.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
West Portal,Ulloa,14th Avenue,39,7,MNC,Southeast,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,12:00 AM,1:00 AM,Not Recorded,Not Recorded,2.71,N/A,2.14,N/A,96.9,0,No,No,0,32,54,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,78.6,78.6,100,100
18th Street,Church,Dolores,25,8,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,10:00 AM,11:00 AM,Not Recorded,Not Recorded,3,N/A,2,N/A,97,0,Yes,No,2,7,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
3rd Street,22nd Street,King (AT&T),18,8,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/20/2009 0:00,12:00 AM,2:30 AM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,No,0,30.6,27.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,92.6,92.6,100,100
Church,Duboce,18th Street,26,8,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/21/2009 0:00,2:00 PM,4:00 PM,Not Recorded,Not Recorded,2.67,N/A,2.08,N/A,97,0,No,No,0,28.2,24.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,71.9,71.9,100,100
Diamond,Chenery,Monterey,33,8,MNC,West,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/21/2009 0:00,1:00 AM,2:00 AM,Not Recorded,Not Recorded,3,N/A,2.5,N/A,97.2,0,Yes,Yes,0,1.5,1.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
24th Street,Folsom,Valencia,31,9,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.8,N/A,2.5,N/A,96.5,0,Yes,No,0,13,18.6,100.00%,100.00%,75.00%,100.00%,100.00%,100.00%,Yes,71.9,71.9,100,100
24th Street,Potrero,Folsom,30,9,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,1:00 PM,3:00 PM,Not Recorded,Not Recorded,2.95,N/A,2,N/A,97,0,No,No,0,11.8,15,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,66.7,66.7,100,100
Mission,18th Street,22nd Street,28,9,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/20/2009 0:00,11:00 AM,1:00 PM,Not Recorded,Not Recorded,2.88,N/A,2.56,N/A,96.6,0,No,No,0,23.75,26.75,75.00%,75.00%,75.00%,100.00%,75.00%,100.00%,No,59.1,59.1,100,100
Mission,22nd Street,Cesar Chavez,29,9,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/20/2009 0:00,1:00 PM,3:00 PM,Not Recorded,Not Recorded,2.8,N/A,2.1,N/A,96.9,0,Yes,No,0,25.6,29.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,58.3,58.3,100,100
Potrero,20th Street,25th Street,32,9,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,4:00 AM,6:00 AM,Not Recorded,Not Recorded,2.93,N/A,2.44,N/A,96.6,0,No,No,0,27.6,15,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,68.2,68.2,100,100
3rd Street,22nd Street,Evans,19,10,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/20/2009 0:00,2:30 AM,5:00 AM,Not Recorded,Not Recorded,2.3,N/A,2.21,N/A,96.9,0,Yes,No,0,33.2,26.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,80.5,78.8,100,100
3rd Street,Evans,Quesada,20,10,MNC,East,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/20/2009 0:00,5:00 AM,8:00 AM,Not Recorded,Not Recorded,2.57,N/A,2.4,N/A,96.6,0,Yes,No,0,24.2,22.4,78.60%,78.60%,78.60%,100.00%,78.60%,100.00%,No,43.8,43.8,100,100
Bayshore,Hester,Sunnydale,21,10,MNC,West,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/7/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.63,N/A,2.1,N/A,96.8,0,Yes,No,0,10.4,16.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,73.8,73.8,100,100
Leland,Bayshore,Cora,23,10,MNC,North,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/7/2009 0:00,6:00 AM,8:30 AM,Not Recorded,Not Recorded,2.8,N/A,2.4,N/A,96.9,0,No,No,0,10,12.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.6,84.6,100,100
San Bruno,Silliman,Wayland,22,10,MNC,West,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/9/2009 0:00,9:00 AM,11:30 AM,Not Recorded,Not Recorded,3,N/A,2.58,N/A,96.5,0,No,No,0.2,15.2,18.8,66.70%,66.70%,33.30%,100.00%,66.70%,100.00%,No,48.7,48.7,100,100
Geneva,Alemany,Naples,36,11,MNC,South,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/21/2009 0:00,5:00 AM,7:00 AM,Not Recorded,Not Recorded,2.8,N/A,2.4,N/A,96.6,0,No,No,0,20,35.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,85.7,85.7,100,100
Mission,Excelsior,France,34,11,MNC,West,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/21/2009 0:00,12:00 AM,2:00 AM,Not Recorded,Not Recorded,2.8,N/A,2.07,N/A,97,0,No,No,0,21,31,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,61.5,61.5,100,100
Mission,France,Rolph,35,11,MNC,West,Commercial,Yes,2008-2009,Q3,2009-07-Jan,1/13/2009 0:00,2:00 AM,4:00 AM,Not Recorded,Not Recorded,2.75,N/A,2.05,N/A,96.8,0,No,No,0,19.5,19.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,78.9,78.9,100,100
Anza,25th Avenue,30th Avenue,2,1,MNC,North,Residential,No,2008-2009,Q3,2009-08-Feb,2/19/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2.4,N/A,2.1,N/A,96.9,0,Yes,No,0,5.4,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.2,79.2,100,100
Clement,21st Avenue,26th Avenue,1,1,MNC,North,Commercial,No,2008-2009,Q3,2009-08-Feb,2/19/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.8,N/A,2.1,N/A,97,0,Yes,Yes,0.4,13,9.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Fillmore,Union,Chestnut,3,2,MNC,East,Commercial,No,2008-2009,Q3,2009-08-Feb,2/24/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.13,N/A,2,N/A,97,0,Yes,No,0,8,6.25,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,83.3,83.3,94.4,94.4
Franklin,Broadway,Greenwich,4,2,MNC,East,Residential,No,2008-2009,Q3,2009-08-Feb,2/20/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.2,N/A,2,N/A,97,0,Yes,No,0,9.8,7.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Battery,Union,Broadway,5,3,MNC,East,Commercial,No,2008-2009,Q3,2009-08-Feb,2/20/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.17,N/A,2,N/A,97,0,Yes,Yes,0,7.33,4.67,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,94.7,94.7,100,100
Washington,Larkin,Mason,6,3,MNC,South,Residential,No,2008-2009,Q3,2009-08-Feb,2/20/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2.4,N/A,2,N/A,97,0,No,No,0,14,9.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,71.4,71.4,100,100
Lincoln,30th Avenue,35th Avenue,8,4,MNC,South,Residential,No,2008-2009,Q3,2009-08-Feb,2/5/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,Yes,0,3.8,2.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,0,0,100,100
Taraval,19th Avenue,24th Avenue,42,4,MNC,North,Commercial,No,2008-2009,Q3,2009-08-Feb,2/19/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,No,Yes,0,5.8,7.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,80,80,100,100
Fillmore,Post,California,9,5,MNC,East,Commercial,No,2008-2009,Q3,2009-08-Feb,2/24/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.38,N/A,2.25,N/A,96.8,0,Yes,No,0,10.75,16.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,82.1,82.1,100,100
Webster,Ellis,Fulton,10,5,MNC,West,Residential,No,2008-2009,Q3,2009-08-Feb,2/24/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2.9,N/A,2.5,N/A,96.7,0,No,No,0,10.2,9.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,56.7,56.7,100,100
16th Street,Guerrero,Capp,11,6,MNC,South,Commercial,No,2008-2009,Q3,2009-08-Feb,2/16/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.75,N/A,2.33,N/A,96.5,0,Yes,No,1,18.33,32,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,56.3,56.3,100,100
Brannan,Embarcadero,3rd Street,12,6,MNC,Southeast,Residential,No,2008-2009,Q3,2009-08-Feb,2/16/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.31,N/A,2.06,N/A,96.9,0,Yes,No,0,23,12.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,95,100,100
Monterey,San Rafael,Santa Clara,14,7,MNC,North,Residential,No,2008-2009,Q3,2009-08-Feb,2/17/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,Yes,0,0.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Taraval,14th Avenue,19th Avenue,13,7,MNC,South,Commercial,No,2008-2009,Q3,2009-08-Feb,2/10/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.1,N/A,2,N/A,96.9,0,Yes,No,0,6.6,7.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,78.6,78.6,100,100
Market,Laguna,Noe,15,8,MNC,Northwest,Commercial,No,2008-2009,Q3,2009-08-Feb,2/9/2009 0:00,12:00 PM,3:00 PM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,No,0,16.75,22.25,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,80.6,80.6,100,100
Noe,Market,Duboce,16,8,MNC,East,Residential,No,2008-2009,Q3,2009-08-Feb,2/16/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2.5,N/A,2,N/A,97,0,Yes,No,0,8.8,6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,92.4,92.4,100,100
Cesar Chavez,Shotwell,Guerrero,17,9,MNC,North,Commercial,No,2008-2009,Q3,2009-08-Feb,2/18/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.1,N/A,2,N/A,97,0,Yes,No,0.4,11,7.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,65.5,62.1,93.1,93.1
Silver,Barneveld,Dunsmuir,18,9,MNC,North,Residential,No,2008-2009,Q3,2009-08-Feb,2/25/2009 0:00,8:00 AM,10:30 AM,Not Recorded,Not Recorded,2.3,N/A,2.05,N/A,97,0,Yes,Yes,0,9,8.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.5,76.5,100,100
16th Street,De Haro,Potrero,19,10,MNC,South,Commercial,No,2008-2009,Q3,2009-08-Feb,2/18/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.6,N/A,2.1,N/A,96.9,0,Yes,Yes,0,13.2,12.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.5,45.5,100,100
Blanken,Tunnel,Gillette,20,10,MNC,North,Residential,No,2008-2009,Q3,2009-08-Feb,2/18/2009 0:00,8:00 AM,10:00 AM,Not Recorded,Not Recorded,2.2,N/A,2,N/A,97,0,Yes,Yes,0,6.6,5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,75,100,100
Brazil,Mission,Edinburgh,22,11,MNC,North,Residential,No,2008-2009,Q3,2009-08-Feb,2/17/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.6,N/A,2.3,N/A,96.9,0,No,No,0,8.4,13.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Randolph,Orizaba,Arch,21,11,MNC,North,Commercial,No,2008-2009,Q3,2009-08-Feb,2/17/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.3,N/A,2.2,N/A,96.8,0,Yes,No,0,8.4,4.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,88.9,88.9,100,100
Clement,5th Avenue,10th Avenue,15,1,MNC,South,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/11/2009 0:00,2:00 PM,4:00 PM,Not Recorded,Not Recorded,2.3,N/A,2,N/A,97,0,Yes,No,0,9.2,18,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,83.3,83.3,100,100
Clement,Arguello,5th Avenue,14,1,MNC,South,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/11/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.25,N/A,2,N/A,97,0,Yes,Yes,0,14.25,13,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Geary,17th Avenue,23rd Avenue,11,1,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/11/2009 0:00,3:00 AM,5:00 AM,Not Recorded,Not Recorded,2.2,N/A,2,N/A,97,0,Yes,Yes,0,13.4,13,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,82.2,82.2,100,100
Geary,Arguello,7th Avenue,10,1,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/11/2009 0:00,12:00 AM,2:00 AM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,Yes,0,12.8,9.4,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,68.4,68.4,100,100
Chestnut,Fillmore,Divisadero,6,2,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/18/2009 0:00,5:30 AM,7:30 AM,Not Recorded,Not Recorded,2.14,N/A,2,N/A,97,0,Yes,No,0,13.8,17.6,100.00%,100.00%,85.70%,100.00%,100.00%,100.00%,Yes,96.6,96.6,100,100
Columbus,Powell,Pacific,1,3,MNC,Southwest,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,12:00 AM,2:00 AM,Not Recorded,Not Recorded,2.8,N/A,2.67,N/A,96.3,0,No,No,0,15.2,9.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,70.8,70.8,100,100
Grant,Broadway,California,2,3,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,2:30 AM,5:00 AM,Not Recorded,Not Recorded,3,N/A,3,N/A,96.1,0,No,No,0,35.2,43,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,,,,
Kearny,Columbus,California,7,3,MNC,West,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,9:00 PM,11:00 PM,Not Recorded,Not Recorded,2.6,N/A,2.6,N/A,96.4,0,No,No,0,11,13.2,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,Yes,85.7,85.7,100,100
Larkin,O'Farrell,Sacramento,5,3,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.8,N/A,2.35,N/A,96.7,0,Yes,No,0,18.4,21,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,47.1,47.1,100,100
Polk,California,Broadway,8,3,MNC,West,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,9:00 AM,11:00 AM,Not Recorded,Not Recorded,3,N/A,2.3,N/A,96.7,0,No,No,0,16,16.4,100.00%,100.00%,80.00%,100.00%,100.00%,100.00%,Yes,71.4,71.4,100,100
Stockton,Green,Sacramento,3,3,MNC,West,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,5:30 AM,8:00 AM,Not Recorded,Not Recorded,3,N/A,3,N/A,96,0,No,No,0,41,64.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Irving,18th Avenue,24th Avenue,40,4,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/4/2009 0:00,3:30 PM,6:00 PM,Not Recorded,Not Recorded,2.5,N/A,2,N/A,97,0,Yes,No,0,9.6,13.6,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,61.1,61.1,100,100
Irving,19th Avenue,25th Avenue,40,4,MNC,South,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/4/2009 0:00,9:00 AM,11:00 AM,Not Recorded,Not Recorded,2.33,N/A,2,N/A,97,0,Yes,No,0,12.33,17.33,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,91.7,91.7,100,100
Divisadero,Geary,McAllister,12,5,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/11/2009 0:00,8:30 AM,10:30 AM,Not Recorded,Not Recorded,2.3,N/A,2,N/A,97,0,No,Yes,0,16.2,15.2,100.00%,100.00%,80.00%,100.00%,100.00%,100.00%,Yes,86.7,86.7,100,100
Divisadero,Haight,McAllister,13,5,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/11/2009 0:00,6:00 AM,8:00 AM,Not Recorded,Not Recorded,2.8,N/A,2,N/A,97,0,Yes,No,0,13.2,16.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,79.4,79.4,100,100
Haight,Stanyan,Masonic,16,5,MNC,South,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/17/2009 0:00,12:00 AM,2:00 AM,Not Recorded,Not Recorded,2.37,N/A,2.07,N/A,96.8,0,Yes,No,0.2,29.4,42.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,76.3,76.3,100,100
Haight,Webster,Divisadero,17,5,MNC,South,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/17/2009 0:00,2:00 AM,4:00 AM,Not Recorded,Not Recorded,2.15,N/A,2,N/A,97,0.2,Yes,No,0.2,21,22.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,81.8,81.8,100,100
Irving,6th Avenue,Funston,41,5,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/4/2009 0:00,1:00 PM,3:00 PM,Not Recorded,Not Recorded,2.5,N/A,2.1,N/A,96.9,0,Yes,No,0,14.6,14,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,75,75,100,100
16th Street,Valencia,Folsom,24,6,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/17/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,3,N/A,2.5,N/A,96.5,0,No,No,0,14.6,24,75.00%,75.00%,75.00%,100.00%,75.00%,100.00%,No,73.7,73.7,100,100
Geary,Jones,Van Ness,9,6,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,6:00 PM,8:00 PM,Not Recorded,Not Recorded,3,N/A,2.3,N/A,97,0,Yes,No,0,22.6,23.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,68.8,68.8,100,100
Mission,Duboce,18th Street,27,6,MNC,West,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/25/2009 0:00,12:00 AM,2:00 AM,Not Recorded,Not Recorded,2.9,N/A,2.6,N/A,96.4,0.4,No,No,0.6,31,52.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,44.7,44.7,94.7,100
Polk,California,O'Farrell,8,6,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/10/2009 0:00,2:30 PM,4:30 PM,Not Recorded,Not Recorded,2.4,N/A,2,N/A,97,0,Yes,No,0,10.6,13.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,87,87,100,100
Ocean,Capitol,Manor,38,7,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/3/2009 0:00,12:00 PM,2:00 PM,Not Recorded,Not Recorded,2.9,N/A,2.3,N/A,96.6,0,Yes,No,0,17.4,12.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,79.4,79.4,97.1,97.1
Ocean,Capitol,Phelan,37,7,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/3/2009 0:00,10:00 AM,12:00 PM,Not Recorded,Not Recorded,2.6,N/A,2,N/A,97,0,Yes,Yes,0,9.4,11.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,88.9,88.9,100,100
Randolph,Orizaba,Arch,21,11,MNC,North,Commercial,No,2010-2011,Q1,2011-02-Aug,8/10/2010 0:00,7:00 AM,9:00 AM,Mon/Thurs,7-8am,2.2,11.3,2,6.6,96.7,0,Yes,No,0,4.4,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
West Portal,Ulloa,14th Avenue,39,7,MNC,Northwest,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/17/2009 0:00,8:00 AM,9:00 AM,Not Recorded,Not Recorded,3,N/A,2,N/A,96.9,0,No,No,0,27,45.5,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,67.3,67.3,100,100
18th Street,Church,Dolores,25,8,MNC,North,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/17/2009 0:00,6:00 PM,7:00 PM,Not Recorded,Not Recorded,2,N/A,2,N/A,97,0,Yes,Yes,0,16,23,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
3rd Street,22nd Street,King (AT&T),18,8,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/24/2009 0:00,12:00 AM,3:00 AM,Not Recorded,Not Recorded,2.2,N/A,2.1,N/A,96.9,0,Yes,No,0,20.8,15.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,94,94,100,100
Church,Duboce,18th Street,26,8,MNC,East,Commercial,Yes,2008-2009,Q3,2009-09-Mar,3/3/2009 0:00,3:00 PM,5:00 PM,Not Recorded,Not Recorded,2.28,N/A,2,N/A,97,0,Yes,No,0,16,10,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,76.6,76.6,100,100
